code	P	E	PE_total	G_nearest
1.1	22	30	52	0
1.2	32	31	63	1
1.3	15	21	36	1
1.4	3	11	14	0
1.5	15	32	47	0
1.6	65	91	156	0
1.7	65	86	151	1
1.8	25	48	73	0
1.9	36	24	60	0
1.10	14	16	30	0
1.11	18	20	38	0
1.12	9	11	20	0
1.13	13	33	46	0
1.14	3	23	26	0
1.15	13	18	31	1
2.1	14	25	39	0
2.2	21	9	30	0
2.3	41	25	66	0
2.4	44	34	78	0
2.5	25	32	57	0
3.1	30	60	90	0
3.2	6	32	38	0
3.3	42	75	117	0
3.4	43	53	96	0
3.5	53	60	113	0
3.6	98	10	108	0
3.7.1	11	21	32	0
3.7.2	18	19	37	0
3.7.3	11	30	41	0
3.7.4	11	34	45	0
3.7.5	29	39	68	0
3.7.6	27	26	53	0
3.7.7	9	10	19	0
3.7.8	11	26	37	0
3.8	11	11	22	0
3.9	9	5	14	0
3.10	6	8	14	0
4.1	4	19	23	0
4.2	31	25	56	0
4.3	22	65	87	0
4.4	68	85	153	0
4.5	48	44	92	0
4.6	10	26	36	0
4.7	9	18	27	0
4.8	46	18	64	0
4.9	51	79	130	0
4.10	15	25	40	1
5.1	22	30	52	0
5.2	36	77	113	0
5.3	22	52	74	1
5.4	14	21	35	0
5.5	15	36	51	0
5.6	5	8	13	0
5.7	9	31	40	0
5.8	67	26	93	0
5.9	24	7	31	0
6.1	5	13	18	0
6.2	16	16	32	0
6.3	16	9	25	0
6.4	13	19	32	0
6.5	24	31	55	0
6.6	4	7	11	0
6.7	10	17	27	0
6.9	17	15	32	0
