R0007	P	PRIMARY	100004|Abactor.4	The Blood Hunt referendum is part of the action resolution. Cards that are played "after a successful action" or "after resolution" must be played after the referendum. {Heidelberg Castle, Germany} cannot be used before the referendum. [LSJ 20100112] [PIB 20121028]
R0032	E	secondary	100038|Alastor.1	If the weapon retrieved costs blood, that cost is paid by the vampire chosen by the terms. [LSJ 20040518]
R0084	P	PRIMARY	100092|Army of Apparitions.1	[chi] Cannot be used during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R0100	P	PRIMARY	100112|Aura of Invincibility.1	If the initial referendum does not pass, then the card is not put into play and the vampire playing it is not sent to torpor. [LSJ 20040730]
R0101	E	PRIMARY	100112|Aura of Invincibility.2	Goes to the ash heap when played, if it has been removed when the referendum passes, it has no effect. [ANK 20220805]
R0264	E	PRIMARY	100274|Business Pressure.1	Each Methuselah must decide how much pool to burn for it during the resolution of the effect. It does not give an ability for the rest of the political action. However, there can be some give and take during the resolution of the effect. For example, each Methuselah can choose to burn one pool at a time as pool is burned for votes. [RTR 19960530]
R0265	E	PRIMARY	100274|Business Pressure.2	Cannot be used before the terms are set. [RTR 20040501]
R0333	P	PRIMARY	100334|Charming Lobby.2	During the referendum that passes automatically, no "during a political action" and "during a referendum" effect can be played and effects that operate on the number of votes that the referendum passed by have no effect. [LSJ 19980107]
R0334	E	PRIMARY	100334|Charming Lobby.3	The next referendum (passing automatically) can be called by another Methuselah's vampire. [PIB 20110719]
R0342	P	secondary	100334|Charming Lobby.11	A bloodhunt referendum following a diablerie is not a referendum called by a vampire. [TOM 19950921]
R0343	E	secondary	100334|Charming Lobby.12	If played by an ally "as a vampire", they can call a referendum listed on a political action card in hand. [RTR 20020501]
R0432	P	PRIMARY	100478|Cryptic Rider.1	During the referendum that passes automatically, no "during a political action" and "during a referendum" effect can be played and effects that operate on the number of votes that the referendum passed by have no effect. [LSJ 19980107]
R0433	E	PRIMARY	100478|Cryptic Rider.2	Can be used after a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R0474	P	PRIMARY	100519|Delaying Tactics.1	May be played before, during, or after votes and ballots have been cast. [LSJ 19980130]
R0476	E	PRIMARY	100519|Delaying Tactics.3	If played on a referendum called by a {Charming Lobby}, the political action card (if any) is retrieved and other minions are forbidden to perform a {Charming Lobby}. [ANK 20201029-2] [LSJ 20030426]
R0477	E	secondary	100519|Delaying Tactics.4	Will only retrieve a political action card played from the hand (eg. it does not retrieve an in-play {Rumors of Gehenna} in the referendum to burn it or the card chosen by {Bujo}). [LSJ 20041130] [LSJ 20100527]
R0478	E	secondary	100519|Delaying Tactics.5	It retrieves the political action card before it is burned (eg. if it was played from {The Erciyes Fragments}, it is still returned into its owner's hand). [LSJ 20050324]
R0479	E	PRIMARY	100519|Delaying Tactics.6	The results are not tallied (eg. {Scorn of Adonis} or {Bribes} have no effect). [LSJ 20010209]
R0480	E	PRIMARY	100519|Delaying Tactics.7	If played on a referendum provided by a card in play (eg. {Anarch Revolt}), does not prevent referendums provided by another copy of the same card in play. [LSJ 20020201]
R0500	P	PRIMARY	100541|Día de los Muertos.1	During the referendum that passes automatically, no "during a political action" and "during a referendum" effect can be played and effects that operate on the number of votes that the referendum passed by have no effect. [LSJ 19980107]
R0520	E	PRIMARY	100559|Distant Friend.1	Cannot be burned during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R0525	E	PRIMARY	100570|Domain Challenge.1	Locked minions are counted after the referendum is completed. [RTR 19941109]
R0570	E	secondary	100608|Echo of Harmonies.4	[MEL] Cannot be used if no political action card was played or if it is not in the ash heap (eg. cannot retrieve a {National Guard Support} when its text is used to burn it). [LSJ 20020911]
R0747	E	PRIMARY	100805|Gangrel Conspiracy.1	Can only be played if a Blood Hunt referendum succeeds, after votes and ballots have been cast. [LSJ 20081203-2]
R0819	P	PRIMARY	100872|Guru.1	The blood is gained after the referendum effects are applied. [LSJ 20090115-2]
R0845	E	secondary	100912|Herald of Topheth.1	Can use {Charming Lobby} to call a referendum "as a vampire". [RTR 20020501]
R0945	P	PRIMARY	101008|Iron Glare.1	[pot][pre] Cannot be used during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R1098	P	PRIMARY	101156|Malkavian Rider Clause.1	During the referendum that passes automatically, no "during a political action" and "during a referendum" effect can be played and effects that operate on the number of votes that the referendum passed by have no effect. [LSJ 19980107]
R1174	E	PRIMARY	101230|Mob Rule.1	Each Methuselah must decide how much blood to burn for it during the resolution. It does not give an ability for the rest of the political action. However, there can be some give and take during the resolution. For example, Methuselahs can choose to burn one blood at a time and wait to see what the others do. [LSJ 20030602]
R1289	E	secondary	101353|Parity Shift.2	The pool awarded can be used to play {Life Boon} to save the target from an oust. [LSJ 20100527]
R1290	E	PRIMARY	101353|Parity Shift.3	If the target has less than 3 pool when referendum passes, the Methuselah calling the referendum chooses how to distribute within the bounds of the terms. [LSJ 20010606]
R1291	P	PRIMARY	101353|Parity Shift.4	Changes in pool during the referendum (after terms are chosen) do not affect the outcome. [LSJ 20041004]
R1296	E	PRIMARY	101380|Peace Treaty.2	Can be called even if there are no weapons in play. [RTR 20010710]
R1338	P	secondary	101430|Power Structure.1	Cannot be used during a Blood Hunt referendum, since there is no political action. [ANK 20190707]
R1403	P	PRIMARY	101533|Quicksilver Contemplation.1	[aus][tem] [ACTION MODIFIER][REACTION] Cannot be burned during a referendum that is automatically passing. [PIB 20150105] [LSJ 19980107]
R1480	P	PRIMARY	101631|Revolutionary Council.1	Unlocked Anarchs are chosen when choosing terms. They still count if they get locked during the vote. [LSJ 20081203]
R1542	P	PRIMARY	101692|Scorn of Adonis.1	May be played at any time during the voting process, and will retroactively cause the loss of pool to Methuselahs voting 'no' before it is played, as well as to Methuselahs voting 'no' after it is played. [RTR 19951110]
R1690	E	secondary	101836|Soul Stealing.2	[ACTION MODIFIER] If the minion is burned because of a referendum or as a side-effect of the action, this does not count as the acting minion burning him. (eg. {War Ghoul} when recruited, {Brigitte Gebauer} using her last life, {Kamiri wa Itherero}'s ability). [RTR 19960124] [LSJ 20090922] [ANK 20181022]
R1788	P	secondary	101928|Taking the Skin: Minion.2	[abo] [ACTION MODIFIER] If the minion is burned because of a referendum or as a side-effect of the action, this does not count as the acting minion burning him. (eg. {War Ghoul} when recruited, {Brigitte Gebauer} using her last life, {Kamiri wa Itherero}'s ability, {Blood Brother Ambush}). [RTR 19960124] [LSJ 20090922] [ANK 20181022] [ANK 20220916]
R1829	P	PRIMARY	101951|Telepathic Vote Counting.1	May be played before, during, or after votes and ballots have been cast. [LSJ 19980130]
R1830	E	PRIMARY	101951|Telepathic Vote Counting.2	[aus] The results are not tallied (eg. {Scorn of Adonis} or {Bribes} have no effect). [LSJ 20010209]
R1889	P	PRIMARY	102014|Treachery.1	[pre] The pool is burned after the referendum effects are applied, including any oust and pool gained from it. [LSJ 20090115-2]
R1890	P	PRIMARY	102014|Treachery.2	[PRE] The pool is burned when the votes are tallied, before applying the referendum effects. [RTR 20010710]
