R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R0002	100002|419 Operation.1	You can burn the edge to burn the card if it has no counter. [ANK 20221011-3]
R0003	100003|Aaron's Feeding Razor.1	The effect is not optional. [RTR 19980707] [LSJ 19980722]
R0004	100004|Abactor.1	"Successful resolution" means the action must not be blocked and the vampire must have gained blood. If the vampire cannot gain blood (eg., {Vampiric Disease}, {Ex Nihilo}), the blood hunt is not called even if the action is not blocked. [LSJ 20090411]
R0005	100004|Abactor.2	This is not a diablerie. Neither {Rebirth} nor {Carlton Van Wyk}'s ability can be used. [LSJ 20090724] [ANK 20180129-1]
R0006	100004|Abactor.3	The Blood Hunt referendum is still a Blood Hunt: {Lay Low} can be used, {Trophy: Diablerie} would prevent the referendum. [LSJ 20091026] [LSJ 20100112]
R0007	100004|Abactor.4	The Blood Hunt referendum is part of the action resolution. Cards that are played "after a successful action" or "after resolution" must be played after the referendum. {Heidelberg Castle, Germany} cannot be used before the referendum. [LSJ 20100112] [PIB 20121028]
R0008	100005|Abandoning the Flesh.1	Cannot be played when burned as a result of a Blood Hunt referendum. [LSJ 20070417]
R0009	100005|Abandoning the Flesh.2	Will not trigger the {Soul Gem of Etrius} since the vampire is removed from the game instead of being burned. [LSJ 20021010]
R0010	100006|Abbot.1	The +1 intercept applies to actions directed at cards controlled by the controller. It does not apply to actions directed at other Methuselahs. [LSJ 20061222]
R0011	100007|Abjure.1	Can be used by an incapacitated Imbued. [LSJ 20081016]
R0012	100008|Ablative Skin.1	Cannot be used to prevent damage that cannot be prevented by cards that require Fortitude. [LSJ 19990216]
R0013	100009|Abombwe.1	The requirements are ignored if the card is not played in the normal fashion (eg. diablerie or {Bima}). [LSJ 20051116-2]
R0014	100010|Abomination.1	Can be played by burning a werewolf that has been recruited the same turn. [RTR 20180303]
R0015	100011|Absimiliard's Army.1	Putting the top card of your library in play as a ghoul does not count as playing the card. [LSJ 20040531]
R0016	100011|Absimiliard's Army.2	The card used to represent the ally is face up, but the name on that card is ignored if something goes looking for a card by name. They do not contest. [LSJ 20040623] [LSJ 20071003]
R0017	100011|Absimiliard's Army.3	A burned ghoul is removed from the game but is still burned first, triggering cards such as {Tension in the Ranks}. [LSJ 20090920]
R0018	100013|Absorb the Mind.1	Can be played against a vampire with no blood. [RTR 20010711]
R0019	100014|Abyssal Hunter.1	Burns if ranged aggravated damage is inflicted on it at close range. [PIB 20110818]
R0020	100014|Abyssal Hunter.2	If he burns an ally with his action, this counts as a directed action burning an ally (eg. for Trophies). [ANK 20220507]
R0021	100018|Aching Beauty.1	The pool loss occurs if the block would be successful, even if the action is ended (eg. {Change of Target} or {Obedience}) or made unblockable ({Horrific Countenance}) at this point. [RTR 19991206] [LSJ 20091125]
R0022	100018|Aching Beauty.2	Burn pool effects are cumulative. [LSJ 19980225]
R0023	100023|Admonitions, The.1	Cannot be used when a card is played, to draw a card that would cancel it "as it is played". [RTR 20040501]
R0024	100023|Admonitions, The.2	If you are the only Methuselah to control a Sabbat vampire, you keep control of The Admonitions each turn. [LSJ 20031121]
R0025	100024|Agate Talisman.1	Can be equipped by a vampire with capacity less than 4, although they cannot lock it to get a vote. [LSJ 20030607]
R0026	100025|Agent of Power.1	Is unique and provides a discipline even when it was not played in the normal fashion (eg. diablerie, {Deviki Prasanta}, {Bima}). [LSJ 20071001-1] [LSJ 20100422]
R0027	100025|Agent of Power.2	If used as a placeholder to represent something else, its text does not apply (including the "Unique" part). A {Shock Troops} vampire would simply be a non-unique 1-cap Sabbat with no clan and no discipline. [LSJ 20071001-1]
R0028	100025|Agent of Power.3	If you play Agent of Power on a vampire and that vampire plays a {Dual Form} at superior [PRO], the Dual Form gains the Discipline provided by the Agent of Power and keeps it once the Agent of Power burns. [LSJ 20071005-1]
R0029	100027|Ahriman's Demesne.1	[OBT] The opponent does not go to torpor, {Undead Persistence} cannot be played. [LSJ 20040608]
R0030	100029|Aid from Bats.1	[ANI] The press can only be used during the current round. [TOM 19960521]
R0031	100030|Ailing Spirit, The.1	[OBE] If one is ousted while having temporary control of a minion, the minion is removed from the game. [LSJ 20081105]
R0032	100038|Alastor.1	If the weapon retrieved costs blood, that cost is paid by the vampire chosen by the terms. [LSJ 20040518]
R0033	100038|Alastor.2	Requirements do not apply. If a discipline is required (eg. {Inscription}) and the Alastor vampire does not have it, the inferior version is used. [ANK 20200901] [LSJ 20040518-2]
R0034	100040|Alpha Glint.1	Cards that are played at the end of round/combat can still be played (eg. {Taste of Vitae}, {Disarm}). [RTR 20001020] [LSJ 20001024]
R0035	100043|Amaranth.1	If both minions want to play a card "when a vampire should go into torpor", the acting minion goes first. If played first, {Undead Persistence} would prevent the opponent to play {Amaranth} and vice-versa. [RTR 20010710]
R0036	100045|Ambulance.1	If the action continues "as if unblocked", all action modifiers and reaction cards are still in effect, even those pertaining to a successful block. [RTR 19941109] [ANK 20190116]
